t=0,,t=10,,t=20,,t=30,,t=40,,t=50,,t=60,,t=120,,t=180,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800.0369873,0.004431116,800.0369873,0.001004994,800.0369873,0.000578289,800.0369873,0.000507584,800.0369873,0.001863875,800.0369873,0.000222262,800.0369873,0.004860212,800.0369873,0.00202566,800.0369873,0.000720045
799.0648804,0.004284353,799.0648804,0.001045938,799.0648804,0.002329294,799.0648804,0.001585923,799.0648804,-4.17E-05,799.0648804,0.000239977,799.0648804,0.004170752,799.0648804,0.003501095,799.0648804,0.000816149
797.9534302,0.003522285,797.9534302,2.69E-05,797.9534302,0.000924828,797.9534302,0.001261156,797.9534302,0.0015787,797.9534302,0.000153945,797.9534302,0.003644984,797.9534302,0.002846436,797.9534302,3.44E-05
796.9805298,0.00491181,796.9805298,0.001521911,796.9805298,0.000679494,796.9805298,-0.000699083,796.9805298,0.002084024,796.9805298,0.001314432,796.9805298,0.004241821,796.9805298,0.000628111,796.9805298,-0.000161964
796.0072632,0.003323865,796.0072632,0.001405395,796.0072632,0.000840787,796.0072632,0.000839568,796.0072632,0.000654087,796.0072632,0.000820739,796.0072632,0.002888805,796.0072632,0.002479381,796.0072632,-3.02E-05
795.0336304,0.004065751,795.0336304,0.001591846,795.0336304,-0.000376478,795.0336304,0.000132945,795.0336304,0.000890043,795.0336304,0.000127792,795.0336304,0.004247729,795.0336304,0.001720471,795.0336304,-6.86E-05
794.0596313,0.003975875,794.0596313,0.000768717,794.0596313,0.000542961,794.0596313,-0.000428305,794.0596313,0.000109201,794.0596313,0.001289195,794.0596313,0.003761946,794.0596313,0.001323286,794.0596313,0.000101459
792.9459839,0.002519319,792.9459839,-0.000308296,792.9459839,0.000158063,792.9459839,-0.00140726,792.9459839,-0.00045401,792.9459839,-8.09E-05,792.9459839,0.00317638,792.9459839,0.003184229,792.9459839,-0.000278806
791.9711304,0.004247886,791.9711304,0.000329161,791.9711304,-0.000723996,791.9711304,-0.000221424,791.9711304,-9.10E-05,791.9711304,0.000149155,791.9711304,0.003294181,791.9711304,0.000513467,791.9711304,-0.000354027
790.9959717,0.002076611,790.9959717,0.001064752,790.9959717,-2.67E-05,790.9959717,-0.001007503,790.9959717,0.000503619,790.9959717,-0.000606499,790.9959717,0.003198963,790.9959717,0.001805333,790.9959717,-0.000893337
790.0203857,0.002202986,790.0203857,5.72E-05,790.0203857,-0.001732659,790.0203857,-0.001269248,790.0203857,-0.000416409,790.0203857,-0.00148466,790.0203857,0.003407501,790.0203857,0.001861613,790.0203857,-0.001586549
