t_0,,t_1,,t_2,,t_3,,t_4,,t_5,,t_6,,t_7,,t_8,,t_9,,t_10,,t_11,,t_12,,t_13,,t_14,,t_15,,t_16,,t_17,,t_18,,t_19,,t_20,,t_30,,t_40,,t_50,,t_60,,t_120,,t_180,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
790.9959717,0.000699251,790.9959717,0.006738746,790.9959717,0.001577427,790.9959717,0.001279848,790.9959717,0.000930951,790.9959717,-0.001049701,790.9959717,2.87E-05,790.9959717,0.001075365,790.9959717,-0.001642771,790.9959717,0.001077701,790.9959717,-0.000587421,790.9959717,-0.001411956,790.9959717,-7.24E-05,790.9959717,-0.0014359,790.9959717,-0.000173815,790.9959717,0.000934504,790.9959717,-0.000763741,790.9959717,0.000543091,790.9959717,0.000329135,790.9959717,-0.001407105,790.9959717,-0.0001291,790.9959717,-0.00044139,790.9959717,0.000120412,790.9959717,-0.000549625,790.9959717,-0.000477799,790.9959717,-0.001008123,790.9959717,-0.000748908
790.0203857,-0.001605531,790.0203857,0.005702103,790.0203857,1.48E-05,790.0203857,0.001417756,790.0203857,0.001919617,790.0203857,-0.000900777,790.0203857,-0.000204451,790.0203857,1.6E-05,790.0203857,-0.000261421,790.0203857,-0.000488039,790.0203857,0.000348539,790.0203857,-0.002433903,790.0203857,0.001244437,790.0203857,0.000260957,790.0203857,-0.00082627,790.0203857,0.000402377,790.0203857,-0.000607946,790.0203857,0.000969112,790.0203857,-0.000285325,790.0203857,0.000717841,790.0203857,-0.0004462,790.0203857,-0.000740639,790.0203857,0.000210245,790.0203857,-0.000187322,790.0203857,-0.000719344,790.0203857,-0.000925007,790.0203857,-0.000817899
789.0444336,-0.000290343,789.0444336,0.005264158,789.0444336,-5.52E-05,789.0444336,0.000786325,789.0444336,-0.000517928,789.0444336,-0.000613995,789.0444336,0.000287766,789.0444336,-0.001593719,789.0444336,-6.41E-05,789.0444336,0.001316535,789.0444336,0.000326389,789.0444336,-0.000619992,789.0444336,-0.000871999,789.0444336,-0.000519945,789.0444336,-0.001370878,789.0444336,0.000685043,789.0444336,-0.000688538,789.0444336,0.000969112,789.0444336,-0.00036577,789.0444336,-0.001000943,789.0444336,-0.000337732,789.0444336,-0.00011202,789.0444336,-0.00094469,789.0444336,-0.001673664,789.0444336,-0.001167233,789.0444336,-0.000204037,789.0444336,-0.001835882
788.0681152,-5.96E-05,788.0681152,0.004849741,788.0681152,-4.65E-05,788.0681152,0.001621751,788.0681152,0.001853996,788.0681152,7.21E-05,788.0681152,-0.000506086,788.0681152,-0.000671377,788.0681152,-0.001860575,788.0681152,-0.000971242,788.0681152,-2.69E-06,788.0681152,0.000513726,788.0681152,-0.000190738,788.0681152,-0.000138209,788.0681152,-0.001480894,788.0681152,0.001021807,788.0681152,-0.002051219,788.0681152,0.00127315,788.0681152,0.000189708,788.0681152,-0.000670343,788.0681152,3.4E-05,788.0681152,-0.001956243,788.0681152,-0.00073821,788.0681152,-0.00043658,788.0681152,-0.001550233,788.0681152,-0.001093908,788.0681152,-0.001886195
786.9518433,-0.001321021,786.9518433,0.006185441,786.9518433,-0.000891322,786.9518433,-0.000135259,786.9518433,0.000266293,786.9518433,-0.00124163,786.9518433,0.00035056,786.9518433,-0.000846267,786.9518433,-0.001085077,786.9518433,-0.001562407,786.9518433,-0.001268061,786.9518433,-0.001117818,786.9518433,-0.000208798,786.9518433,-0.001496424,786.9518433,-0.000623404,786.9518433,0.000196079,786.9518433,-0.000747202,786.9518433,0.000144753,786.9518433,0.000614994,786.9518433,-0.000258627,786.9518433,-0.001102532,786.9518433,-0.000133603,786.9518433,0.000795479,786.9518433,-0.002193001,786.9518433,-0.001877329,786.9518433,-0.001754574,786.9518433,-0.002969764
785.9747314,-0.000879491,785.9747314,0.004793831,785.9747314,-0.001872638,785.9747314,-0.000633589,785.9747314,5.64E-05,785.9747314,-0.000758418,785.9747314,0.000453111,785.9747314,-0.000130083,785.9747314,-0.000969124,785.9747314,2.16E-05,785.9747314,-0.000280824,785.9747314,-0.00100053,785.9747314,-0.001986134,785.9747314,-0.0007979,785.9747314,-0.002264801,785.9747314,-0.00164112,785.9747314,-0.000726167,785.9747314,-0.000996553,785.9747314,-0.000411599,785.9747314,-0.001292632,785.9747314,-0.000479092,785.9747314,-0.000949959,785.9747314,-0.000163724,785.9747314,-0.000842599,785.9747314,-0.000596107,785.9747314,-0.003136638,785.9747314,-0.003518471
784.9972534,-0.001046808,784.9972534,0.004695274,784.9972534,-0.000847663,784.9972534,-0.000250918,784.9972534,8.84E-05,784.9972534,-0.001337382,784.9972534,-0.002127628,784.9972534,-0.001613732,784.9972534,-0.000781002,784.9972534,-0.000758211,784.9972534,-0.001845831,784.9972534,-0.000547143,784.9972534,-0.000729165,784.9972534,-0.002084144,784.9972534,-0.001402461,784.9972534,-0.001131708,784.9972534,-0.001946759,784.9972534,-0.00011673,784.9972534,0.00017259,784.9972534,-0.00145236,784.9972534,-0.000330076,784.9972534,-0.000872257,784.9972534,0.000520568,784.9972534,-0.001066692,784.9972534,-0.002313057,784.9972534,-0.001922792,784.9972534,-0.00176236
784.0194092,-0.001184582,784.0194092,0.004639986,784.0194092,-0.000972223,784.0194092,-0.000180491,784.0194092,0.001031304,784.0194092,-0.001477179,784.0194092,-0.000513636,784.0194092,-0.000613685,784.0194092,-0.00148368,784.0194092,-0.002857759,784.0194092,-0.002429064,784.0194092,-0.001973405,784.0194092,-0.000572376,784.0194092,-0.001130159,784.0194092,-0.002392561,784.0194092,-0.000966076,784.0194092,-0.002059567,784.0194092,-0.001783294,784.0194092,0.000202683,784.0194092,-0.000425047,784.0194092,-0.001194288,784.0194092,-0.001594647,784.0194092,-0.000651268,784.0194092,-0.001565038,784.0194092,-0.000992214,784.0194092,-0.002135562,784.0194092,-0.002237041
783.0411987,-0.000755058,783.0411987,0.005053967,783.0411987,-0.001036789,783.0411987,0.00075837,783.0411987,0.001312692,783.0411987,-0.001097317,783.0411987,-0.002060906,783.0411987,-0.001508548,783.0411987,-0.001414072,783.0411987,-0.001108161,783.0411987,-0.001105373,783.0411987,-0.000985602,783.0411987,-0.001812888,783.0411987,-0.001809485,783.0411987,-0.002191971,783.0411987,1.27E-05,783.0411987,-0.001470729,783.0411987,-0.000991232,783.0411987,-0.00131302,783.0411987,-0.001130469,783.0411987,-0.002541695,783.0411987,-0.001857894,783.0411987,0.000220371,783.0411987,-0.002532842,783.0411987,-0.003005859,783.0411987,-0.002083629,783.0411987,-0.002140662
782.062561,-0.000404358,782.062561,0.004138476,782.062561,-0.00051829,782.062561,-5.92E-05,782.062561,0.000230032,782.062561,-0.000637621,782.062561,-0.000644393,782.062561,-0.001645659,782.062561,-0.00210903,782.062561,0.000468297,782.062561,-0.001043193,782.062561,-0.000561259,782.062561,-0.000130239,782.062561,-0.001847997,782.062561,7.94E-05,782.062561,-0.000216456,782.062561,-0.001857534,782.062561,-0.000812525,782.062561,-0.001235745,782.062561,-0.000944225,782.062561,-0.000883314,782.062561,-0.00236831,782.062561,-0.000741,782.062561,-0.002008552,782.062561,-0.002435963,782.062561,-0.001519331,782.062561,-0.003712135
