t_0,,t_1,,t_2,,t_3,,t_4,,t_5,,t_6,,t_7,,t_8,,t_9,,t_10,,t_11,,t_12,,t_13,,t_14,,t_15,,t_16,,t_17,,t_18,,t_19,,t_20,,t_30,,t_40,,t_50,,t_60,,t_120,,t_180,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800.0369873,0.000632181,800.0369873,0.000879875,800.0369873,0.00019973,800.0369873,0.002592254,800.0369873,0.000786869,800.0369873,0.000675657,800.0369873,0.001886285,800.0369873,0.001931317,800.0369873,0.002342957,800.0369873,0.005813404,800.0369873,0.002051668,800.0369873,0.002119217,800.0369873,0.000575205,800.0369873,0.001165577,800.0369873,0.001898401,800.0369873,0.002356986,800.0369873,0.000937566,800.0369873,0.001916835,800.0369873,0.004673425,800.0369873,0.002823585,800.0369873,0.001864421,800.0369873,0.001415419,800.0369873,0.003168792,800.0369873,0.001765096,800.0369873,0.002405633,800.0369873,0.001249084,800.0369873,0.001006058
799.0648804,-0.00040953,799.0648804,0.001728476,799.0648804,0.001338631,799.0648804,0.002115498,799.0648804,0.000647761,799.0648804,0.00083324,799.0648804,0.002132224,799.0648804,0.002744125,799.0648804,0.002897431,799.0648804,0.004920293,799.0648804,0.003093936,799.0648804,0.003500939,799.0648804,0.003499973,799.0648804,0.002053099,799.0648804,0.001615542,799.0648804,0.001269879,799.0648804,0.00100092,799.0648804,0.002508046,799.0648804,0.004143676,799.0648804,0.002627645,799.0648804,0.001405992,799.0648804,0.002754936,799.0648804,0.002768222,799.0648804,0.001525314,799.0648804,0.002738472,799.0648804,0.002159227,799.0648804,0.001345123
797.9534302,0.000957853,797.9534302,0.000810287,797.9534302,-0.000269855,797.9534302,0.000994538,797.9534302,0.001189613,797.9534302,0.00166304,797.9534302,0.001679827,797.9534302,0.001980722,797.9534302,0.004065542,797.9534302,0.005696019,797.9534302,0.002240791,797.9534302,0.002227339,797.9534302,0.001823763,797.9534302,0.00162118,797.9534302,0.000303956,797.9534302,0.001207368,797.9534302,0.001053723,797.9534302,0.002204807,797.9534302,0.004558702,797.9534302,0.000916735,797.9534302,0.00296003,797.9534302,0.001643941,797.9534302,0.001730763,797.9534302,0.002280317,797.9534302,0.001543135,797.9534302,0.000954999,797.9534302,0.000117642
796.9805298,-0.000267372,796.9805298,0.000633114,796.9805298,-0.000430115,796.9805298,0.000410383,796.9805298,0.000773384,796.9805298,0.000436061,796.9805298,0.001571348,796.9805298,0.001761665,796.9805298,0.003845745,796.9805298,0.005731296,796.9805298,0.002755692,796.9805298,0.002486697,796.9805298,0.00151456,796.9805298,0.001873416,796.9805298,0.001330244,796.9805298,0.003072975,796.9805298,0.001758417,796.9805298,0.002528432,796.9805298,0.00409115,796.9805298,0.002745402,796.9805298,0.002246802,796.9805298,0.001415445,796.9805298,0.002257028,796.9805298,0.001499208,796.9805298,0.000721316,796.9805298,0.001634639,796.9805298,0.000476537
796.0072632,0.000473479,796.0072632,0.00045464,796.0072632,-1.53E-05,796.0072632,0.000858995,796.0072632,4.06E-05,796.0072632,0.001057304,796.0072632,0.001452714,796.0072632,0.001373712,796.0072632,0.003307093,796.0072632,0.004974307,796.0072632,0.002880623,796.0072632,0.002432106,796.0072632,0.000564863,796.0072632,-0.000529408,796.0072632,0.001447598,796.0072632,0.001585221,796.0072632,0.001287248,796.0072632,0.001673772,796.0072632,0.003617445,796.0072632,0.001021989,796.0072632,0.002013021,796.0072632,0.001959191,796.0072632,0.001825401,796.0072632,0.001229744,796.0072632,0.001820176,796.0072632,0.000438004,796.0072632,0.0007418
795.0336304,-0.001664742,795.0336304,0.000151071,795.0336304,0.000381261,795.0336304,-0.001596814,795.0336304,0.001886467,795.0336304,0.000356907,795.0336304,0.000962704,795.0336304,0.002061109,795.0336304,0.002710808,795.0336304,0.006025826,795.0336304,0.001545654,795.0336304,0.002945434,795.0336304,0.001385892,795.0336304,0.001947932,795.0336304,0.002025426,795.0336304,0.000883506,795.0336304,0.00021141,795.0336304,0.001662105,795.0336304,0.004349244,795.0336304,0.000928694,795.0336304,0.000635888,795.0336304,0.001885323,795.0336304,0.001637523,795.0336304,0.00068035,795.0336304,0.001459155,795.0336304,0.000734125,795.0336304,0.001502143
794.0596313,-0.000750665,794.0596313,-9.04E-05,794.0596313,0.000491827,794.0596313,0.000416057,794.0596313,-0.001616827,794.0596313,0.00036512,794.0596313,0.00093038,794.0596313,0.001084785,794.0596313,0.003832765,794.0596313,0.00480027,794.0596313,0.002060043,794.0596313,0.002686532,794.0596313,-9.78E-06,794.0596313,0.00074486,794.0596313,0.001041631,794.0596313,0.001455208,794.0596313,0.00130389,794.0596313,0.001761354,794.0596313,0.004773312,794.0596313,0.001411238,794.0596313,0.000603251,794.0596313,0.001952301,794.0596313,0.001772348,794.0596313,0.002344649,794.0596313,0.001979084,794.0596313,0.000299112,794.0596313,-0.001053626
792.9459839,0.000787103,792.9459839,0.000366493,792.9459839,0.000790889,792.9459839,-0.001426457,792.9459839,-0.001030333,792.9459839,-0.00051374,792.9459839,0.001722239,792.9459839,0.002492607,792.9459839,0.002679083,792.9459839,0.005567495,792.9459839,0.001840218,792.9459839,0.001683803,792.9459839,0.001578648,792.9459839,0.001160412,792.9459839,0.002200592,792.9459839,0.001916497,792.9459839,0.002008678,792.9459839,5.11E-05,792.9459839,0.005462654,792.9459839,0.002121897,792.9459839,0.001160412,792.9459839,0.001647631,792.9459839,0.001091973,792.9459839,0.001458844,792.9459839,0.001440196,792.9459839,0.000102702,792.9459839,0.00094802
791.9711304,-0.001740652,791.9711304,0.000879226,791.9711304,-0.000846112,791.9711304,-8.07E-05,791.9711304,8.54E-05,791.9711304,-0.000499312,791.9711304,0.002298845,791.9711304,0.00128312,791.9711304,0.002835206,791.9711304,0.003552794,791.9711304,0.002886825,791.9711304,0.00177999,791.9711304,-0.002001904,791.9711304,0.000526633,791.9711304,0.002151578,791.9711304,0.001902899,791.9711304,-0.000213972,791.9711304,0.000679235,791.9711304,0.005123294,791.9711304,0.000558953,791.9711304,0.002222162,791.9711304,0.001175077,791.9711304,0.00169651,791.9711304,0.000763219,791.9711304,0.000983174,791.9711304,0.000371493,791.9711304,-5.59E-05
