t=0,,t=10,,t=20,,t=30,,t=40,,t=50,,t=60,,t=120,,t=180,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800.0369873,-0.000401978,800.0369873,0.000446659,800.0369873,0.000873416,800.0369873,-0.000582303,800.0369873,-0.000439683,800.0369873,-0.000223701,800.0369873,-0.000881816,800.0369873,-0.000440304,800.0369873,0.000165054
799.0648804,0.001187977,799.0648804,0.00103735,799.0648804,0.000854923,799.0648804,-0.000269079,799.0648804,0.001025959,799.0648804,-1.00E-04,799.0648804,-0.000379012,799.0648804,-0.000749218,799.0648804,0.000320043
797.9534302,-0.000500605,797.9534302,0.000931547,797.9534302,0.000141982,797.9534302,0.000122536,797.9534302,0.000675294,797.9534302,-0.00115195,797.9534302,-4.30E-05,797.9534302,-0.000755368,797.9534302,0.000390873
796.9805298,0.000516758,796.9805298,6.66E-05,796.9805298,-2.65E-05,796.9805298,-0.000695775,796.9805298,-8.98E-05,796.9805298,-0.000412737,796.9805298,-0.000720533,796.9805298,-0.000718156,796.9805298,-0.001512572
796.0072632,-0.000855258,796.0072632,-0.000285998,796.0072632,0.000312142,796.0072632,-0.001008898,796.0072632,-0.000453648,796.0072632,8.00E-05,796.0072632,0.000841825,796.0072632,-7.51E-05,796.0072632,-0.001099434
795.0336304,-0.000155702,795.0336304,-0.000352476,795.0336304,-0.000887964,795.0336304,-0.00140788,795.0336304,-0.000768082,795.0336304,0.000434221,795.0336304,-0.001358595,795.0336304,-0.001304452,795.0336304,-0.001801443
794.0596313,0.001111956,794.0596313,-0.000303847,794.0596313,-0.000575426,794.0596313,-0.00237351,794.0596313,-0.000512602,794.0596313,-0.001242972,794.0596313,-0.000913073,794.0596313,-0.000737693,794.0596313,-0.002046169
792.9459839,-0.000538663,792.9459839,-0.000402392,792.9459839,-0.000768754,792.9459839,-0.001293819,792.9459839,-0.000843529,792.9459839,-0.00193073,792.9459839,-0.001833304,792.9459839,-0.000705699,792.9459839,-0.001337486
791.9711304,1.83E-05,791.9711304,-0.000808752,791.9711304,-0.000217595,791.9711304,-0.001061992,791.9711304,-0.001488942,791.9711304,-0.000957449,791.9711304,-0.00177953,791.9711304,-0.002376187,791.9711304,-0.000657523
790.9959717,0.000215943,790.9959717,-9.04E-05,790.9959717,-0.001038803,790.9959717,-0.002427262,790.9959717,-0.000312797,790.9959717,-0.000294638,790.9959717,-0.001877844,790.9959717,-0.002082959,790.9959717,-0.002066265
790.0203857,-0.001409737,790.0203857,-0.001015199,790.0203857,-0.001014528,790.0203857,-0.000884812,790.0203857,-0.001204407,790.0203857,-0.001958253,790.0203857,-0.001511231,790.0203857,-0.00133604,790.0203857,-0.001276785
789.0444336,-0.000838413,789.0444336,-0.00210398,789.0444336,-0.000614822,789.0444336,-0.002371965,789.0444336,-0.000510223,789.0444336,-0.00221788,789.0444336,-0.002491663,789.0444336,-0.001565502,789.0444336,-0.000744463
788.0681152,-0.001031521,788.0681152,-0.001807114,788.0681152,-0.002683008,788.0681152,-0.002387155,788.0681152,-0.002439463,788.0681152,-0.002196195,788.0681152,-0.002281951,788.0681152,-0.00164896,788.0681152,-0.000974341
786.9518433,-0.001208899,786.9518433,-0.00179407,786.9518433,-0.002568046,786.9518433,-0.001744004,786.9518433,-0.002261608,786.9518433,-0.002557547,786.9518433,-0.001851708,786.9518433,-0.000576667,786.9518433,-0.002498097
785.9747314,-0.001787109,785.9747314,-0.00066078,785.9747314,-0.000586129,785.9747314,-0.002933512,785.9747314,-0.002654347,785.9747314,-0.00246474,785.9747314,-0.002051425,785.9747314,-0.002198512,785.9747314,-0.002144938
784.9972534,-0.002643902,784.9972534,0.000344757,784.9972534,-0.002091357,784.9972534,-0.004006574,784.9972534,-0.002105423,784.9972534,-0.002740889,784.9972534,-0.002205312,784.9972534,-0.001121691,784.9972534,-0.002481573
784.0194092,-0.001482699,784.0194092,-0.002774276,784.0194092,-0.002590691,784.0194092,-0.003254532,784.0194092,-0.003109139,784.0194092,-0.002665616,784.0194092,-0.002107638,784.0194092,-0.001640708,784.0194092,-0.002547047
783.0411987,-0.001382644,783.0411987,-0.00168599,783.0411987,-0.001703317,783.0411987,-0.001357562,783.0411987,-0.003100606,783.0411987,-0.002375312,783.0411987,-0.002643593,783.0411987,-0.002889491,783.0411987,-0.000751182
782.062561,-0.002288492,782.062561,-0.001390798,782.062561,-0.001660203,782.062561,-0.002454136,782.062561,-0.001557971,782.062561,-0.002094037,782.062561,-0.003242919,782.062561,-0.002930324,782.062561,-0.002105423
780.9437256,-0.002761055,780.9437256,-0.002040759,780.9437256,-0.00181758,780.9437256,-0.00309526,780.9437256,-0.002141332,780.9437256,-0.002202685,780.9437256,-0.003222004,780.9437256,-0.002410787,780.9437256,-0.00188104
779.9643555,-0.002333552,779.9643555,-0.002051734,779.9643555,-0.002205054,779.9643555,-0.001366439,779.9643555,-0.00272566,779.9643555,-0.002079095,779.9643555,-0.002369854,779.9643555,-0.001881246,779.9643555,-0.003070945
778.9845581,-0.002884503,778.9845581,-0.001706205,778.9845581,-0.002060803,778.9845581,-0.003518984,778.9845581,-0.004458467,778.9845581,-0.003676715,778.9845581,-0.002424327,778.9845581,-0.003283256,778.9845581,-0.003642781
778.0044556,-0.002337054,778.0044556,-0.002448267,778.0044556,-0.002450223,778.0044556,-0.001877947,778.0044556,-0.002057557,778.0044556,-0.002172963,778.0044556,-0.003180531,778.0044556,-0.00290132,778.0044556,-0.002965445
777.0239868,-0.002318876,777.0239868,-0.002720464,777.0239868,-0.001148542,777.0239868,-0.003005756,777.0239868,-0.002390759,777.0239868,-0.002552246,777.0239868,-0.002575612,777.0239868,-0.001362981,777.0239868,-0.003120139
776.0430908,-0.002434264,776.0430908,-0.004094744,776.0430908,-0.002598513,776.0430908,-0.00296056,776.0430908,-0.002762855,776.0430908,-0.003027658,776.0430908,-0.003307559,776.0430908,-0.00366537,776.0430908,-0.003073772
775.0618896,-0.003050125,775.0618896,-0.002642975,775.0618896,-0.002000255,775.0618896,-0.002698906,775.0618896,-0.003243125,775.0618896,-0.003477488,775.0618896,-0.002567634,775.0618896,-0.003642473,775.0618896,-0.003348352
