Std_1,,Std_2,,Std_3,,Std_4,,Std_5,,Std_6,,Std_7,,Std_8,,Std_9,,Std_10,,Std_11,,Std_12,,Std_13,,Std_14,,Std_15,,Std_16,,Std_17,,Std_18,,Std_19,,Std_20,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
790.0203857,-0.001610225,790.0203857,-0.002662735,790.0203857,-0.003430594,790.0203857,-0.002255891,790.0203857,-0.000775575,790.0203857,-0.002507826,790.0203857,-0.001133671,790.0203857,-0.000810613,790.0203857,-0.003283513,790.0203857,-0.001510457,790.0203857,-0.000424943,790.0203857,-0.002010922,790.0203857,-0.001144876,790.0203857,-0.002074767,790.0203857,-0.002570002,790.0203857,-0.002316147,790.0203857,-0.001180245,790.0203857,0.000666661,790.0203857,-0.002343851,790.0203857,-0.003914436
789.0444336,-0.00218785,789.0444336,-0.002124898,789.0444336,-0.002245745,789.0444336,-0.001922638,789.0444336,-0.002113718,789.0444336,-0.002252286,789.0444336,-0.003235622,789.0444336,-0.003268201,789.0444336,-0.002873342,789.0444336,-0.004790395,789.0444336,-0.000952387,789.0444336,-0.002985909,789.0444336,-0.002889954,789.0444336,-0.00282767,789.0444336,-0.003456379,789.0444336,-0.001906092,789.0444336,-0.003165215,789.0444336,0.001219334,789.0444336,-0.001836088,789.0444336,-0.002461188
788.0681152,-0.001318801,788.0681152,-0.002687638,788.0681152,-0.002271806,788.0681152,-0.000961014,788.0681152,-0.003524428,788.0681152,-0.002088627,788.0681152,-0.002431535,788.0681152,-0.001811187,788.0681152,-0.003730871,788.0681152,-0.002870257,788.0681152,-0.002238483,788.0681152,-0.00188238,788.0681152,-0.002285042,788.0681152,-0.00375905,788.0681152,-0.002521775,788.0681152,-0.002137726,788.0681152,-0.001787934,788.0681152,0.000440233,788.0681152,-0.002745107,788.0681152,-0.002992285
786.9518433,-0.003212086,786.9518433,-0.003179195,786.9518433,-0.002737596,786.9518433,-0.003407788,786.9518433,-0.003372292,786.9518433,-0.001695582,786.9518433,-0.00284166,786.9518433,-0.00527651,786.9518433,-0.002679972,786.9518433,-0.004314706,786.9518433,-0.000867865,786.9518433,-0.002755499,786.9518433,-0.003422325,786.9518433,-0.002412177,786.9518433,-0.004998234,786.9518433,-0.002128762,786.9518433,-0.002753441,786.9518433,0.001430716,786.9518433,-0.003874928,786.9518433,-0.00332364
785.9747314,-0.002550599,785.9747314,-0.002706778,785.9747314,-0.002370009,785.9747314,-0.001822374,785.9747314,-0.00345001,785.9747314,-0.001729668,785.9747314,-0.002328454,785.9747314,-0.003783942,785.9747314,-0.003854351,785.9747314,-0.004017449,785.9747314,-0.002113357,785.9747314,-0.002892114,785.9747314,-0.002558062,785.9747314,-0.001844594,785.9747314,-0.002521003,785.9747314,-0.001899236,785.9747314,-0.003182895,785.9747314,0.00043176,785.9747314,-0.003469887,785.9747314,-0.003684826
784.9972534,-0.00267354,784.9972534,-0.004160745,784.9972534,-0.002571134,784.9972534,-0.003529306,784.9972534,-0.002875348,784.9972534,-0.00340409,784.9972534,-0.003909357,784.9972534,-0.003911922,784.9972534,-0.004639112,784.9972534,-0.004315936,784.9972534,-0.00100053,784.9972534,-0.002973106,784.9972534,-0.003765927,784.9972534,-0.003471941,784.9972534,-0.002055496,784.9972534,-0.002409963,784.9972534,-0.003097881,784.9972534,-0.00024295,784.9972534,-0.003301445,784.9972534,-0.003773985
784.0194092,-0.002374746,784.0194092,-0.003369107,784.0194092,-0.003577935,784.0194092,-0.001835572,784.0194092,-0.004541575,784.0194092,-0.002284269,784.0194092,-0.00353516,784.0194092,-0.004005959,784.0194092,-0.003274007,784.0194092,-0.004883935,784.0194092,-0.001367213,784.0194092,-0.003371675,784.0194092,-0.003163673,784.0194092,-0.003898941,784.0194092,-0.003188086,784.0194092,-0.003104975,784.0194092,-0.00218002,784.0194092,-9.77E-05,784.0194092,-0.003944348,784.0194092,-0.003696633
783.0411987,-0.002960097,783.0411987,-0.003860355,783.0411987,-0.003440354,783.0411987,-0.00267354,783.0411987,-0.003189885,783.0411987,-0.002511275,783.0411987,-0.004244064,783.0411987,-0.003403062,783.0411987,-0.002919576,783.0411987,-0.004353867,783.0411987,-0.002859919,783.0411987,-0.002750457,783.0411987,-0.002751229,783.0411987,-0.003698686,783.0411987,-0.002319133,783.0411987,-0.001842944,783.0411987,-0.002880645,783.0411987,-0.001253039,783.0411987,-0.004037249,783.0411987,-0.003512976
782.062561,-0.003359449,782.062561,-0.002584103,782.062561,-0.003407326,782.062561,-0.003222878,782.062561,-0.004368372,782.062561,-0.004806166,782.062561,-0.003070122,782.062561,-0.003442614,782.062561,-0.004113925,782.062561,-0.002299101,782.062561,-0.002641946,782.062561,-0.003163519,782.062561,-0.00336135,782.062561,-0.003802264,782.062561,-0.002630368,782.062561,-0.00249609,782.062561,-0.003019432,782.062561,0.000983797,782.062561,-0.003228993,782.062561,-0.004730176
780.9437256,-0.003940499,780.9437256,-0.00418587,780.9437256,-0.00332066,780.9437256,-0.003202836,780.9437256,-0.004416701,780.9437256,-0.002953052,780.9437256,-0.003554417,780.9437256,-0.00398821,780.9437256,-0.004222171,780.9437256,-0.004498486,780.9437256,-0.001940471,780.9437256,-0.003054751,780.9437256,-0.003473585,780.9437256,-0.003664087,780.9437256,-0.004148694,780.9437256,-0.002254604,780.9437256,-0.002540099,780.9437256,0.000767835,780.9437256,-0.003494025,780.9437256,-0.003291374
779.9643555,-0.00380175,779.9643555,-0.0042617,779.9643555,-0.005039637,779.9643555,-0.002363212,779.9643555,-0.003281098,779.9643555,-0.003590104,779.9643555,-0.002836722,779.9643555,-0.004007395,779.9643555,-0.00359493,779.9643555,-0.004490339,779.9643555,-0.002569848,779.9643555,-0.003868668,779.9643555,-0.004838627,779.9643555,-0.003369261,779.9643555,-0.004936405,779.9643555,-0.001550026,779.9643555,-0.002639322,779.9643555,-0.000202381,779.9643555,-0.003605456,779.9643555,-0.004847484
778.9845581,-0.004327367,778.9845581,-0.003330217,778.9845581,-0.003866153,778.9845581,-0.004466922,778.9845581,-0.003918644,778.9845581,-0.003936652,778.9845581,-0.002810078,778.9845581,-0.003600989,778.9845581,-0.003765517,778.9845581,-0.004547877,778.9845581,-0.002770932,778.9845581,-0.002779986,778.9845581,-0.003628611,778.9845581,-0.003525968,778.9845581,-0.004034427,778.9845581,-0.003418318,778.9845581,-0.002768051,778.9845581,7.33E-05,778.9845581,-0.003923928,778.9845581,-0.003876929
778.0044556,-0.002219889,778.0044556,-0.00380252,778.0044556,-0.00387816,778.0044556,-0.004084692,778.0044556,-0.004775597,778.0044556,-0.003777783,778.0044556,-0.00438016,778.0044556,-0.003597549,778.0044556,-0.003018507,778.0044556,-0.003924031,778.0044556,-0.001266564,778.0044556,-0.004641674,778.0044556,-0.004105668,778.0044556,-0.002378813,778.0044556,-0.004082743,778.0044556,-0.005070391,778.0044556,-0.00295115,778.0044556,-1.33E-05,778.0044556,-0.003959482,778.0044556,-0.003783942
777.0239868,-0.003284027,777.0239868,-0.003093461,777.0239868,-0.004776263,777.0239868,-0.003824126,777.0239868,-0.003159767,777.0239868,-0.003408353,777.0239868,-0.004947819,777.0239868,-0.003835672,777.0239868,-0.004473788,777.0239868,-0.004554896,777.0239868,-0.002370884,777.0239868,-0.003285568,777.0239868,-0.003444052,777.0239868,-0.004068228,777.0239868,-0.003898839,777.0239868,-0.002416708,777.0239868,-0.003408867,777.0239868,-0.00076219,777.0239868,-0.003993801,777.0239868,-0.004641161
776.0430908,-0.003446055,776.0430908,-0.003741906,776.0430908,-0.004479732,776.0430908,-0.003109807,776.0430908,-0.003653562,776.0430908,-0.003591644,776.0430908,-0.004169359,776.0430908,-0.002860536,776.0430908,-0.003947836,776.0430908,-0.003310385,776.0430908,-0.003444822,776.0430908,-0.002877714,776.0430908,-0.003326158,776.0430908,-0.004347665,776.0430908,-0.004865352,776.0430908,-0.002980151,776.0430908,-0.003220103,776.0430908,-0.000622525,776.0430908,-0.004440736,776.0430908,-0.004550285
775.0618896,-0.002104496,775.0618896,-0.004240321,775.0618896,-0.004423312,775.0618896,-0.004365553,775.0618896,-0.003837417,775.0618896,-0.003397412,775.0618896,-0.003974308,775.0618896,-0.004722494,775.0618896,-0.003753712,775.0618896,-0.005359462,775.0618896,-0.002537268,775.0618896,-0.002391737,775.0618896,-0.00547747,775.0618896,-0.003245334,775.0618896,-0.004240988,775.0618896,-0.003407223,775.0618896,-0.001857894,775.0618896,-0.0009824,775.0618896,-0.00449039,775.0618896,-0.003938294
773.9400635,-0.003352205,773.9400635,-0.004058227,773.9400635,-0.004375496,773.9400635,-0.003839726,773.9400635,-0.005199016,773.9400635,-0.003760846,773.9400635,-0.004324496,773.9400635,-0.00355452,773.9400635,-0.004594189,773.9400635,-0.00401114,773.9400635,-0.002341946,773.9400635,-0.003996469,773.9400635,-0.00448665,773.9400635,-0.004041147,773.9400635,-0.003740264,773.9400635,-0.004181768,773.9400635,-0.002973775,773.9400635,-0.001292219,773.9400635,-0.004066331,773.9400635,-0.005230681
772.9580078,-0.003932547,772.9580078,-0.004998132,772.9580078,-0.00436868,772.9580078,-0.003839726,772.9580078,-0.003938807,772.9580078,-0.004613808,772.9580078,-0.004905846,772.9580078,-0.004105309,772.9580078,-0.004765971,772.9580078,-0.003806472,772.9580078,-0.003557857,772.9580078,-0.004084538,772.9580078,-0.004775905,772.9580078,-0.004297892,772.9580078,-0.004591064,772.9580078,-0.003384518,772.9580078,-0.002343078,772.9580078,-0.000386875,772.9580078,-0.003890783,772.9580078,-0.003727432
771.975647,-0.004444733,771.975647,-0.005174921,771.975647,-0.00415777,771.975647,-0.004381698,771.975647,-0.004624565,771.975647,-0.004568933,771.975647,-0.004434689,771.975647,-0.004566013,771.975647,-0.004752656,771.975647,-0.005584202,771.975647,-0.002774636,771.975647,-0.003217996,771.975647,-0.004154488,771.975647,-0.004491261,771.975647,-0.004806678,771.975647,-0.004095411,771.975647,-0.003009972,771.975647,-0.000367063,771.975647,-0.005047108,771.975647,-0.004128951
770.9929199,-0.004052175,770.9929199,-0.0046344,770.9929199,-0.004796796,770.9929199,-0.004198484,770.9929199,-0.004791676,770.9929199,-0.004529484,770.9929199,-0.004073255,770.9929199,-0.003438196,770.9929199,-0.004699909,770.9929199,-0.003788099,770.9929199,-0.003084259,770.9929199,-0.004422903,770.9929199,-0.004608942,770.9929199,-0.004861615,770.9929199,-0.005047824,770.9929199,-0.004286614,770.9929199,-0.004329007,770.9929199,-0.000956933,770.9929199,-0.004682905,770.9929199,-0.004484958
770.0098267,-0.004217403,770.0098267,-0.003973539,770.0098267,-0.004684903,770.0098267,-0.005063892,770.0098267,-0.005185409,770.0098267,-0.004334543,770.0098267,-0.003599757,770.0098267,-0.004325881,770.0098267,-0.005225923,770.0098267,-0.003547895,770.0098267,-0.004106643,770.0098267,-0.003680463,770.0098267,-0.003985337,770.0098267,-0.004353047,770.0098267,-0.005810461,770.0098267,-0.003450215,770.0098267,-0.003425355,770.0098267,-0.000440459,770.0098267,-0.004814717,770.0098267,-0.004001189
769.0263672,-0.003950607,769.0263672,-0.004591781,769.0263672,-0.005171084,769.0263672,-0.00372312,769.0263672,-0.005213442,769.0263672,-0.004713532,769.0263672,-0.004814461,769.0263672,-0.005019883,769.0263672,-0.005171954,769.0263672,-0.004835453,769.0263672,-0.002984675,769.0263672,-0.003914129,769.0263672,-0.004543983,769.0263672,-0.004368167,769.0263672,-0.005336604,769.0263672,-0.003321328,769.0263672,-0.004261392,769.0263672,-0.000757125,769.0263672,-0.004872929,769.0263672,-0.00488373
768.0425415,-0.004941677,768.0425415,-0.005732398,768.0425415,-0.005168833,768.0425415,-0.004613706,768.0425415,-0.004816663,768.0425415,-0.004968958,768.0425415,-0.004407221,768.0425415,-0.004929341,768.0425415,-0.005306175,768.0425415,-0.004889566,768.0425415,-0.003606431,768.0425415,-0.004843286,768.0425415,-0.00399729,768.0425415,-0.004775956,768.0425415,-0.004622926,768.0425415,-0.004733658,768.0425415,-0.003701766,768.0425415,-0.001062406,768.0425415,-0.00492458,768.0425415,-0.005398887
767.0583496,-0.004165308,767.0583496,-0.005339109,767.0583496,-0.006517346,767.0583496,-0.004790344,767.0583496,-0.0054266,767.0583496,-0.005077607,767.0583496,-0.005150211,767.0583496,-0.005348468,767.0583496,-0.005604442,767.0583496,-0.005085077,767.0583496,-0.004099052,767.0583496,-0.004000521,767.0583496,-0.00448957,767.0583496,-0.004901801,767.0583496,-0.005387383,767.0583496,-0.003299698,767.0583496,-0.003957584,767.0583496,-0.001607439,767.0583496,-0.004866734,767.0583496,-0.004481167
765.9331055,-0.004643313,765.9331055,-0.004653864,765.9331055,-0.005279375,765.9331055,-0.00459716,765.9331055,-0.004966604,765.9331055,-0.004893713,765.9331055,-0.004894071,765.9331055,-0.004499049,765.9331055,-0.005211805,765.9331055,-0.003889397,765.9331055,-0.004137822,765.9331055,-0.004204995,765.9331055,-0.00534765,765.9331055,-0.005072336,765.9331055,-0.005060004,765.9331055,-0.004099514,765.9331055,-0.00416295,765.9331055,-0.001409324,765.9331055,-0.004898013,765.9331055,-0.005238046
764.9481201,-0.00473714,764.9481201,-0.005504769,764.9481201,-0.005321722,764.9481201,-0.005513766,764.9481201,-0.00574747,764.9481201,-0.005853012,764.9481201,-0.00603992,764.9481201,-0.004614628,764.9481201,-0.005189603,764.9481201,-0.005358389,764.9481201,-0.004171923,764.9481201,-0.005133481,764.9481201,-0.004730073,764.9481201,-0.004131207,764.9481201,-0.005635616,764.9481201,-0.00479951,764.9481201,-0.00408223,764.9481201,-0.001812837,764.9481201,-0.005482378,764.9481201,-0.0046869
763.9628296,-0.005768417,763.9628296,-0.005528795,763.9628296,-0.00526802,763.9628296,-0.005886774,763.9628296,-0.004880761,763.9628296,-0.005478237,763.9628296,-0.00597109,763.9628296,-0.004837808,763.9628296,-0.0050642,763.9628296,-0.005883913,763.9628296,-0.003821303,763.9628296,-0.005283875,763.9628296,-0.005178963,763.9628296,-0.005038767,763.9628296,-0.006210059,763.9628296,-0.004457493,763.9628296,-0.004055304,763.9628296,-0.001549923,763.9628296,-0.00532341,763.9628296,-0.004779642
762.9771118,-0.005503952,762.9771118,-0.005906386,762.9771118,-0.004963482,762.9771118,-0.004953552,762.9771118,-0.006180202,762.9771118,-0.005159829,762.9771118,-0.005250016,762.9771118,-0.00492458,762.9771118,-0.004982215,762.9771118,-0.005611495,762.9771118,-0.003845114,762.9771118,-0.005228379,762.9771118,-0.005854084,762.9771118,-0.005321517,762.9771118,-0.006064733,762.9771118,-0.004377854,762.9771118,-0.004186332,762.9771118,-0.002365117,762.9771118,-0.005253084,762.9771118,-0.005325506
761.9910889,-0.005076225,761.9910889,-0.005408295,761.9910889,-0.005495465,761.9910889,-0.004923762,761.9910889,-0.006353296,761.9910889,-0.005834265,761.9910889,-0.00483919,761.9910889,-0.005452471,761.9910889,-0.005997898,761.9910889,-0.005540398,761.9910889,-0.00366922,761.9910889,-0.005107591,761.9910889,-0.005048438,761.9910889,-0.005132508,761.9910889,-0.005744302,761.9910889,-0.005083593,761.9910889,-0.005285922,761.9910889,-0.00201556,761.9910889,-0.004850812,761.9910889,-0.004987384
761.0046387,-0.005272623,761.0046387,-0.0054266,761.0046387,-0.006226748,761.0046387,-0.004686695,761.0046387,-0.005658204,761.0046387,-0.006130537,761.0046387,-0.005665716,761.0046387,-0.005393416,761.0046387,-0.00561083,761.0046387,-0.005953472,761.0046387,-0.004783688,761.0046387,-0.005715741,761.0046387,-0.005306277,761.0046387,-0.005631886,761.0046387,-0.005847137,761.0046387,-0.004444784,761.0046387,-0.005647473,761.0046387,-0.00168599,761.0046387,-0.005855361,761.0046387,-0.005422203
760.0178833,-0.005156708,760.0178833,-0.006323194,760.0178833,-0.006089442,760.0178833,-0.005583385,760.0178833,-0.006282066,760.0178833,-0.006787515,760.0178833,-0.005481765,760.0178833,-0.006612911,760.0178833,-0.006329623,760.0178833,-0.005528182,760.0178833,-0.004782869,760.0178833,-0.005876303,760.0178833,-0.005866956,760.0178833,-0.004939118,760.0178833,-0.004922482,760.0178833,-0.00455259,760.0178833,-0.004135156,760.0178833,-0.002443325,760.0178833,-0.00594285,760.0178833,-0.005604084
