10uM,,20uM,,40uM,,80uM,,160uM,,320uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
768.0425415,-0.005844481289,768.0425415,-0.00541269267,768.0425415,-0.006360949483,768.0425415,-0.006474809255,768.0425415,-0.007185248658,768.0425415,-0.005742922425
767.0583496,-0.005869662855,767.0583496,-0.00545564061,767.0583496,-0.006076934747,767.0583496,-0.007187183946,767.0583496,-0.006281045731,767.0583496,-0.006526016165
765.9331055,-0.005936262198,765.9331055,-0.006737154908,765.9331055,-0.007122609764,765.9331055,-0.006633357145,765.9331055,-0.006131353322,765.9331055,-0.005246537272
764.9481201,-0.00618612254,764.9481201,-0.006856266875,764.9481201,-0.007190900855,764.9481201,-0.006153455935,764.9481201,-0.006785272621,764.9481201,-0.006585579831
763.9628296,-0.006477716379,763.9628296,-0.006412883755,763.9628296,-0.006098018959,763.9628296,-0.006331612356,763.9628296,-0.006521884818,763.9628296,-0.006998272147
762.9771118,-0.008422275074,762.9771118,-0.006799492985,762.9771118,-0.007150518242,762.9771118,-0.005782261491,762.9771118,-0.006611024495,762.9771118,-0.006400793325
761.9910889,-0.006334061269,761.9910889,-0.006135130767,761.9910889,-0.006457467098,761.9910889,-0.00769381877,761.9910889,-0.005937794223,761.9910889,-0.0074097584
761.0046387,-0.007048296742,761.0046387,-0.006662725005,761.0046387,-0.006284567062,761.0046387,-0.006940395571,761.0046387,-0.006995775737,761.0046387,-0.007130554412
760.0178833,-0.007104223594,760.0178833,-0.007104172837,760.0178833,-0.00774233928,760.0178833,-0.008260671049,760.0178833,-0.007295431104,760.0178833,-0.006843373645
759.0307617,-0.007285605185,759.0307617,-0.007368530612,759.0307617,-0.007704703137,759.0307617,-0.008086403832,759.0307617,-0.007331219036,759.0307617,-0.007432457525
758.0432739,-0.007525684312,758.0432739,-0.006682710256,758.0432739,-0.00853361655,758.0432739,-0.008070548996,758.0432739,-0.007838601246,758.0432739,-0.007052779198
757.055481,-0.007676220033,757.055481,-0.007775903679,757.055481,-0.006846686359,757.055481,-0.007598135155,757.055481,-0.007882174104,757.055481,-0.007848617621
756.0672607,-0.006708862726,756.0672607,-0.007989688776,756.0672607,-0.008073140867,756.0672607,-0.007833974436,756.0672607,-0.008382616565,756.0672607,-0.009482181631
754.937439,-0.008335436694,754.937439,-0.007896256633,754.937439,-0.008838401176,754.937439,-0.008604934439,754.937439,-0.008547982201,754.937439,-0.007229701616
753.9484863,-0.00827662088,753.9484863,-0.008423747495,753.9484863,-0.008130257018,753.9484863,-0.008491276763,753.9484863,-0.00849701371,753.9484863,-0.008270372637
752.9591675,-0.009104900062,752.9591675,-0.009114329703,752.9591675,-0.00882855989,752.9591675,-0.008229074068,752.9591675,-0.009022711776,752.9591675,-0.009123049676
751.9694824,-0.009470480494,751.9694824,-0.008857322857,751.9694824,-0.008842105046,751.9694824,-0.008607573807,751.9694824,-0.009530401789,751.9694824,-0.007960309274
750.9794312,-0.009402901866,750.9794312,-0.008973370306,750.9794312,-0.008895569481,750.9794312,-0.009464706294,750.9794312,-0.00915676076,750.9794312,-0.008418619633
749.9890747,-0.008620161563,749.9890747,-0.00886711292,749.9890747,-0.009435780346,749.9890747,-0.008773311041,749.9890747,-0.009727074765,749.9890747,-0.008994922973
748.9983521,-0.009145862423,748.9983521,-0.009214241989,748.9983521,-0.008609502576,748.9983521,-0.009402040392,748.9983521,-0.009639686905,748.9983521,-0.009147686884
748.0072632,-0.0103733819,748.0072632,-0.009252913296,748.0072632,-0.009441353381,748.0072632,-0.009222300723,748.0072632,-0.009061804973,748.0072632,-0.009426205419
747.0158081,-0.01029952243,747.0158081,-0.01009521727,747.0158081,-0.008803295903,747.0158081,-0.01007285994,747.0158081,-0.009598214179,747.0158081,-0.01023409422
746.0239868,-0.01046688948,746.0239868,-0.0109363962,746.0239868,-0.01089368481,746.0239868,-0.01082950737,746.0239868,-0.01099394541,746.0239868,-0.009648649022
745.0318604,-0.01030821819,745.0318604,-0.01072920952,745.0318604,-0.01060049422,745.0318604,-0.01109070051,745.0318604,-0.01088075899,745.0318604,-0.01032429561
744.0393677,-0.01058675162,744.0393677,-0.01051681954,744.0393677,-0.01197810564,744.0393677,-0.01101852674,744.0393677,-0.01149222814,744.0393677,-0.01112370379
743.0465088,-0.01070632786,743.0465088,-0.01069102343,743.0465088,-0.01164976228,743.0465088,-0.01177332923,743.0465088,-0.01149953902,743.0465088,-0.01162234228
742.0532837,-0.01134452317,742.0532837,-0.0110299848,742.0532837,-0.01161170751,742.0532837,-0.01078188606,742.0532837,-0.01080148108,742.0532837,-0.01206844859
741.0597534,-0.01146137062,741.0597534,-0.01114353538,741.0597534,-0.01139339432,741.0597534,-0.01158085745,741.0597534,-0.0119174635,741.0597534,-0.0115311509
740.0658569,-0.0116275847,740.0658569,-0.01179590262,740.0658569,-0.01190361101,740.0658569,-0.01200857386,740.0658569,-0.0126324892,740.0658569,-0.01129837055
738.9295044,-0.01267010253,738.9295044,-0.01236583199,738.9295044,-0.01183363888,738.9295044,-0.01231988892,738.9295044,-0.01199306268,738.9295044,-0.01221072301
737.9348755,-0.01199845131,737.9348755,-0.01257007755,737.9348755,-0.01233810559,737.9348755,-0.01243003365,737.9348755,-0.01227207854,737.9348755,-0.01230569743
736.9398804,-0.01290978771,736.9398804,-0.01311819814,736.9398804,-0.01240014844,736.9398804,-0.01280851103,736.9398804,-0.01300651953,736.9398804,-0.01213143487
735.944519,-0.01218072139,735.944519,-0.01254452765,735.944519,-0.01226941124,735.944519,-0.01247591525,735.944519,-0.01265632547,735.944519,-0.01254155952
734.9488525,-0.01283987705,734.9488525,-0.01227821875,734.9488525,-0.01231933571,734.9488525,-0.01269474067,734.9488525,-0.01284530479,734.9488525,-0.01225536875
733.9528198,-0.01221867558,733.9528198,-0.01210152917,733.9528198,-0.01244633459,733.9528198,-0.01188351214,733.9528198,-0.01265939232,733.9528198,-0.01221781969
732.9564209,-0.01231259201,732.9564209,-0.01183207706,732.9564209,-0.01260352228,732.9564209,-0.01274290681,732.9564209,-0.01218681224,732.9564209,-0.0120551046
731.9596558,-0.0124171041,731.9596558,-0.01196667273,731.9596558,-0.01207197271,731.9596558,-0.01192088891,731.9596558,-0.01229075063,731.9596558,-0.01175801083
730.9625854,-0.01228813361,730.9625854,-0.012733154,730.9625854,-0.01220916212,730.9625854,-0.01226020046,730.9625854,-0.01290772762,730.9625854,-0.01260241587
729.9651489,-0.01329844166,729.9651489,-0.01259446982,729.9651489,-0.01319544762,729.9651489,-0.01290124469,729.9651489,-0.01349572465,729.9651489,-0.01274577249
728.9674072,-0.01387377549,728.9674072,-0.01331827417,728.9674072,-0.01391484216,728.9674072,-0.01372477226,728.9674072,-0.01349155884,728.9674072,-0.01338444371
727.9692993,-0.01465341914,727.9692993,-0.0149279302,727.9692993,-0.01387262251,727.9692993,-0.01424889266,727.9692993,-0.01425936352,727.9692993,-0.01405190118
726.9708252,-0.01490737032,726.9708252,-0.0154470047,726.9708252,-0.01505296864,726.9708252,-0.01505331881,726.9708252,-0.01564731076,726.9708252,-0.01543146651
725.9720459,-0.01557469089,725.9720459,-0.01552538946,725.9720459,-0.01543981023,725.9720459,-0.01540633291,725.9720459,-0.01701624878,725.9720459,-0.01588940062
724.9729004,-0.01688998193,724.9729004,-0.01662228815,724.9729004,-0.01610676385,724.9729004,-0.01698055305,724.9729004,-0.01646844298,724.9729004,-0.01584357955
723.9733887,-0.01696332544,723.9733887,-0.0166392792,723.9733887,-0.0167314969,723.9733887,-0.01697920822,723.9733887,-0.01724140719,723.9733887,-0.01684396528
722.9735718,-0.01718164422,722.9735718,-0.01793063805,722.9735718,-0.0171982646,722.9735718,-0.017454613,722.9735718,-0.01749812625,722.9735718,-0.01739473082
721.9733887,-0.01745341904,721.9733887,-0.01707105525,721.9733887,-0.01748375408,721.9733887,-0.01775896735,721.9733887,-0.0177834183,721.9733887,-0.01812463813
720.9729004,-0.01780731976,720.9729004,-0.01814936474,720.9729004,-0.01792174578,720.9729004,-0.01774654351,720.9729004,-0.01814330742,720.9729004,-0.01817503572
719.9720459,-0.01795984805,719.9720459,-0.01823758893,719.9720459,-0.01829154789,719.9720459,-0.01793053932,719.9720459,-0.0183153227,719.9720459,-0.01774097607
718.9708252,-0.0180386249,718.9708252,-0.01820755564,718.9708252,-0.01818923466,718.9708252,-0.01836296916,718.9708252,-0.01844559237,718.9708252,-0.01816138066
717.9692993,-0.01826231182,717.9692993,-0.0175577458,717.9692993,-0.01751935855,717.9692993,-0.01834768429,717.9692993,-0.0181953907,717.9692993,-0.01798950322
716.9674683,-0.01810333505,716.9674683,-0.01799099334,716.9674683,-0.0182841029,716.9674683,-0.01808843762,716.9674683,-0.01833979227,716.9674683,-0.01783713512
715.965271,-0.01777556539,715.965271,-0.01794196479,715.965271,-0.01751632616,715.965271,-0.01780254953,715.965271,-0.01822388731,715.965271,-0.01775837131
714.9627075,-0.0173280742,714.9627075,-0.01732210442,714.9627075,-0.01753522083,714.9627075,-0.01757728495,714.9627075,-0.01743884757,714.9627075,-0.01749598794
713.9598389,-0.0167517215,713.9598389,-0.01682469249,713.9598389,-0.01657838747,713.9598389,-0.01705258898,713.9598389,-0.01670653932,713.9598389,-0.01705318503
712.956604,-0.01671301574,712.956604,-0.01627863944,712.956604,-0.01596231572,712.956604,-0.01619729772,712.956604,-0.01633239351,712.956604,-0.01607069373
711.953064,-0.01593421958,711.953064,-0.01593012735,711.953064,-0.01515752356,711.953064,-0.01565884613,711.953064,-0.01539424062,711.953064,-0.01560915448
710.9491577,-0.01484698616,710.9491577,-0.01481676567,710.9491577,-0.01428175811,710.9491577,-0.01508492325,710.9491577,-0.01487005036,710.9491577,-0.01451289468
709.9449463,-0.01328498498,709.9449463,-0.01332023274,709.9449463,-0.01302239578,709.9449463,-0.0141868135,709.9449463,-0.01360331383,709.9449463,-0.01361053903
708.9403687,-0.01319584902,708.9403687,-0.01302546076,708.9403687,-0.01281590015,708.9403687,-0.01287902985,708.9403687,-0.01285756938,708.9403687,-0.01276663598
707.9354858,-0.01155474503,707.9354858,-0.011900438,707.9354858,-0.01161402557,707.9354858,-0.01183001138,707.9354858,-0.01162889507,707.9354858,-0.01154002361
706.9302368,-0.01044535916,706.9302368,-0.01040295232,706.9302368,-0.01029426418,706.9302368,-0.01078092679,706.9302368,-0.01123274025,706.9302368,-0.01095366199
706.0683594,-0.009720999748,706.0683594,-0.008942789398,706.0683594,-0.009184945375,706.0683594,-0.009755677544,706.0683594,-0.009723379277,706.0683594,-0.009047861211
705.0625,-0.008465637453,705.0625,-0.007360742893,705.0625,-0.007688376587,705.0625,-0.007824008353,705.0625,-0.008602041751,705.0625,-0.007870429195
704.0563354,-0.006193574052,704.0563354,-0.005552972667,704.0563354,-0.006821102463,704.0563354,-0.006262011826,704.0563354,-0.005942186341,704.0563354,-0.006611228455
703.0498047,-0.004785940982,703.0498047,-0.005613027606,703.0498047,-0.004984722473,703.0498047,-0.0057498198,703.0498047,-0.005311237648,703.0498047,-0.005302543286
702.0429688,-0.004190689884,702.0429688,-0.00392680103,702.0429688,-0.00408802554,702.0429688,-0.004664210603,702.0429688,-0.004331006203,702.0429688,-0.003326825798
701.0357666,-0.002746187383,701.0357666,-0.002879616804,701.0357666,-0.002589610172,701.0357666,-0.003000614233,701.0357666,-0.003249907633,701.0357666,-0.002430248074
700.0282593,-0.001838201541,700.0282593,-0.001296348171,700.0282593,-0.00140318356,700.0282593,-0.001867946819,700.0282593,-0.001499106525,700.0282593,-0.001126028248
699.0204468,0.0007615854265,699.0204468,0.0002615011181,699.0204468,-0.0003053470573,699.0204468,3.52050597E-06,699.0204468,-0.0001696752588,699.0204468,4.191140397E-05
698.0122681,0.001464869594,698.0122681,0.001190391253,698.0122681,0.001004760386,698.0122681,0.0009980404284,698.0122681,0.001275175135,698.0122681,0.001410640427
697.0037842,0.002297049854,697.0037842,0.003104520729,697.0037842,0.002653480275,697.0037842,0.003069377504,697.0037842,0.002039964311,697.0037842,0.002604961861
695.9949341,0.004381143488,695.9949341,0.003487238893,695.9949341,0.003817827441,695.9949341,0.003228430869,695.9949341,0.003626606893,695.9949341,0.003853396978
694.9857788,0.005018115509,694.9857788,0.005299190991,694.9857788,0.005005127285,694.9857788,0.004628839903,694.9857788,0.004549441393,694.9857788,0.004787078593
693.9763184,0.005863173865,693.9763184,0.006601713598,693.9763184,0.005284438375,693.9763184,0.004341818392,693.9763184,0.004729449749,693.9763184,0.00541030895
692.9664917,0.006706119981,692.9664917,0.006841081195,692.9664917,0.005979737733,692.9664917,0.006938522216,692.9664917,0.006320135668,692.9664917,0.00696448423
691.9563599,0.007498713676,691.9563599,0.008292862214,691.9563599,0.00764472317,691.9563599,0.007270565256,691.9563599,0.007255140226,691.9563599,0.00767238671
690.9458618,0.008092645556,690.9458618,0.008635527454,690.9458618,0.008434071206,690.9458618,0.008444312029,690.9458618,0.008645614609,690.9458618,0.008633731864
689.9350586,0.009331958368,689.9350586,0.009660702199,689.9350586,0.009399168193,689.9350586,0.009084288962,689.9350586,0.009095046669,689.9350586,0.00989045389
689.0684204,0.01026128419,689.0684204,0.0106769735,689.0684204,0.009798464365,689.0684204,0.01012960169,689.0684204,0.009377134033,689.0684204,0.009945461527
688.0570068,0.01103801467,688.0570068,0.01119818073,688.0570068,0.01114721131,688.0570068,0.0108352555,688.0570068,0.01137915999,688.0570068,0.01198164653
687.0452881,0.01045072917,687.0452881,0.0109507991,687.0452881,0.01160554308,687.0452881,0.01139220782,687.0452881,0.01042195968,687.0452881,0.01078507118
686.0332642,0.01175264735,686.0332642,0.01109845191,686.0332642,0.01189304423,686.0332642,0.01207495108,686.0332642,0.01106172614,686.0332642,0.01231466606
685.020874,0.01236438751,685.020874,0.01239483152,685.020874,0.01145179011,685.020874,0.01252629701,685.020874,0.01217253599,685.020874,0.01217740774
684.0081787,0.01248641312,684.0081787,0.01269559562,684.0081787,0.01234406698,684.0081787,0.0121684894,684.0081787,0.01325128414,684.0081787,0.01270121988
682.9951782,0.01284045726,682.9951782,0.01298971381,682.9951782,0.01330861356,682.9951782,0.0121119488,682.9951782,0.01294461358,682.9951782,0.0134206526
681.9818726,0.01323887426,681.9818726,0.01368656941,681.9818726,0.01370139606,681.9818726,0.01360979863,681.9818726,0.01303908601,681.9818726,0.01310343109
680.9682007,0.01401691604,680.9682007,0.01465897914,680.9682007,0.01448219549,680.9682007,0.01385105681,680.9682007,0.01472254656,680.9682007,0.0134026045
