Spectrum_03
333.86
335.23
336.6
337.98
339.35
340.72
342.09
343.46
344.84
346.21
347.58
348.95
350.32
351.7
353.07
354.44
355.81
357.18
358.56
359.93
361.3
362.67
364.04
365.41
366.79
368.16
369.53
370.9
372.27
373.65
375.02
376.39
377.76
379.13
380.51
381.88
383.25
384.62
385.99
387.37
388.74
390.11
391.48
392.85
394.23
395.6
396.97
398.34
399.71
401.08
402.46
403.83
405.2
406.57
407.94
409.32
410.69
412.06
413.43
414.8
416.18
417.55
418.92
420.29
421.66
423.04
424.41
425.78
427.15
428.52
429.89
431.27
432.64
434.01
435.38
436.75
438.13
439.5
440.87
442.24
443.61
444.99
446.36
447.73
449.1
450.47
451.85
453.22
454.59
455.96
457.33
458.71
460.08
461.45
462.82
464.19
465.56
466.94
468.31
469.68
471.05
472.42
473.8
475.17
476.54
477.91
479.28
480.66
482.03
483.4
484.77
486.14
487.52
488.89
490.26
491.63
493
494.38
495.75
497.12
498.49
499.86
501.23
502.61
503.98
505.35
506.72
508.09
509.47
510.84
512.21
513.58
514.95
516.33
517.7
519.07
520.44
521.81
523.19
524.56
525.93
527.3
528.67
530.05
531.42
532.79
534.16
535.53
536.9
538.28
539.65
541.02
542.39
543.76
545.14
546.51
547.88
549.25
550.62
552
553.37
554.74
556.11
557.48
558.86
560.23
561.6
562.97
564.34
565.71
567.09
568.46
569.83
571.2
572.57
573.95
575.32
576.69
578.06
579.43
580.81
582.18
583.55
584.92
586.29
587.67
589.04
590.41
591.78
593.15
594.53
595.9
597.27
598.64
600.01
601.38
602.76
604.13
605.5
606.87
608.24
609.62
610.99
612.36
613.73
615.1
616.48
617.85
619.22
620.59
621.96
623.34
624.71
626.08
627.45
628.82
630.2
631.57
632.94
634.31
635.68
637.05
638.43
639.8
641.17
642.54
643.91
645.29
646.66
648.03
649.4
650.77
652.15
653.52
654.89
656.26
657.63
659.01
660.38
661.75
663.12
664.49
665.87
667.24
668.61
669.98
671.35
672.72
674.1
675.47
676.84
678.21
679.58
680.96
682.33
683.7
