Delay_piperidine,Delay_piperidinium tosylate,Delay_morpholine,Delay_morpholinium tosylate,Delay_p-methoxy,Delay_p-methoxy tosylate,Delay_acetophenone cyclohexane,Delay_acetophenone
8.56889,8.26889,8.57289,8.57189,8.44389,8.39589,8.47189,8.27189
8.81689,8.51689,8.82089,8.81989,8.69189,8.64389,8.71989,8.51989
9.06489,8.76589,9.06889,9.06889,8.93989,8.89189,8.96789,8.76889
9.31289,9.01389,9.31689,9.31689,9.18889,9.13989,9.21589,9.01689
9.56189,9.26289,9.56489,9.56589,9.43789,9.38889,9.46489,9.26589
9.80989,9.51189,9.81289,9.81389,9.68589,9.63789,9.71289,9.51389
10.0589,9.75989,10.0619,10.0619,9.93489,9.88589,9.96089,9.76189
11.0599,10.7619,11.0629,11.0639,10.9359,10.8879,10.9619,10.7629
12.0599,11.7609,12.0619,12.0659,11.9349,11.8859,11.9609,11.7619
13.0599,12.7599,13.0619,13.0619,12.9359,12.8839,12.9619,12.7629
14.0589,13.7629,14.0599,14.0639,13.9379,13.8899,13.9609,13.7649
15.0579,14.7619,15.0619,15.0619,14.9379,14.8879,14.9609,14.7609
16.0569,15.7619,16.0609,16.0639,15.9339,15.8839,15.9589,15.7609
17.0579,16.7599,17.0599,17.0619,16.9339,16.8869,16.9579,16.7599
18.0579,17.7619,18.0619,18.0629,17.9319,17.8889,17.9579,17.7579
19.0579,18.7639,19.0639,19.0619,18.9299,18.8879,18.9579,18.7599
20.0579,19.7599,20.0619,20.0589,19.9329,19.8899,19.9559,19.7579
21.0559,20.7599,21.0629,21.0619,20.9339,20.8879,20.9569,20.7599
22.0579,21.7619,22.0599,22.0599,21.9329,21.8899,21.9579,21.7589
23.0559,22.7599,23.0619,23.0589,22.9339,22.8899,22.9579,22.7599
24.0549,23.7609,24.0599,24.0589,23.9319,23.8869,23.9559,23.7589
25.0559,24.7599,25.0619,25.0609,24.9329,24.8889,24.9559,24.7599
26.0579,25.7609,26.0619,26.0599,25.9339,25.8899,25.9579,25.7579
27.0579,26.7599,27.0619,27.0599,26.9289,26.8869,26.9579,26.7599
