Std_1,,Std_2,,Std_3,,Std_4,,Std_5,,Std_6,,Std_7_6_2,,Std_7,,Std_8,,Std_9,,Std_10,,Std_11,,Std_12,,Std_13,,Std_14,,Std_15,,Std_16,,Std_17,,Std_18,,Std_19,,Std_20,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
790.9959717,-0.002365425928,790.9959717,-0.002190940315,790.9959717,-0.002386588138,790.9959717,-0.00165695406,790.9959717,-0.002640196588,790.9959717,-0.003177241888,790.9959717,-0.0005403180839,790.9959717,-0.001417993917,790.9959717,-0.003174055368,790.9959717,-0.003052232321,790.9959717,-0.002359349979,790.9959717,-0.001285043778,790.9959717,-0.002507620025,790.9959717,-0.001270693494,790.9959717,-0.002951046918,790.9959717,-0.001034206362,790.9959717,-0.002241985174,790.9959717,-0.001770300674,790.9959717,0.0002601283195,790.9959717,-0.003715009894,790.9959717,-0.001924596261,
790.0203857,-0.001610224717,790.0203857,-0.002662734594,790.0203857,-0.003430594457,790.0203857,-0.00225589145,790.0203857,-0.0007755754632,790.0203857,-0.002507826081,790.0203857,-0.002406719606,790.0203857,-0.001133670565,790.0203857,-0.000810612808,790.0203857,-0.003283512779,790.0203857,-0.001510456903,790.0203857,-0.0004249431659,790.0203857,-0.00201092218,790.0203857,-0.001144875656,790.0203857,-0.002074766671,790.0203857,-0.002570001874,790.0203857,-0.002316146623,790.0203857,-0.00118024461,790.0203857,0.000666660897,790.0203857,-0.002343850909,790.0203857,-0.003914436325,
789.0444336,-0.002187849721,789.0444336,-0.00212489767,789.0444336,-0.002245745156,789.0444336,-0.001922637573,789.0444336,-0.002113717841,789.0444336,-0.002252286067,789.0444336,-0.001821394893,789.0444336,-0.003235622309,789.0444336,-0.003268200671,789.0444336,-0.002873342251,789.0444336,-0.004790395498,789.0444336,-0.0009523869376,789.0444336,-0.002985909116,789.0444336,-0.002889954019,789.0444336,-0.002827669727,789.0444336,-0.003456378821,789.0444336,-0.001906091929,789.0444336,-0.003165215487,789.0444336,0.001219334314,789.0444336,-0.001836087904,789.0444336,-0.00246118824,
788.0681152,-0.001318801194,788.0681152,-0.002687638393,788.0681152,-0.00227180589,788.0681152,-0.0009610138368,788.0681152,-0.003524427535,788.0681152,-0.002088626614,788.0681152,-0.003049404826,788.0681152,-0.002431535162,788.0681152,-0.001811186783,788.0681152,-0.003730870783,788.0681152,-0.002870256547,788.0681152,-0.002238482935,788.0681152,-0.001882380457,788.0681152,-0.002285041614,788.0681152,-0.003759049578,788.0681152,-0.002521775197,788.0681152,-0.00213772594,788.0681152,-0.001787934219,788.0681152,0.0004402327468,788.0681152,-0.002745107049,788.0681152,-0.00299228495,
786.9518433,-0.003212085925,786.9518433,-0.003179194871,786.9518433,-0.002737595933,786.9518433,-0.003407787997,786.9518433,-0.003372291801,786.9518433,-0.001695581828,786.9518433,-0.002085020067,786.9518433,-0.002841660054,786.9518433,-0.005276510492,786.9518433,-0.002679971978,786.9518433,-0.004314705729,786.9518433,-0.0008678653976,786.9518433,-0.002755498979,786.9518433,-0.003422324779,786.9518433,-0.002412177157,786.9518433,-0.004998234101,786.9518433,-0.002128761727,786.9518433,-0.002753441222,786.9518433,0.0014307159,786.9518433,-0.003874927759,786.9518433,-0.003323640442,
785.9747314,-0.0025505987,785.9747314,-0.002706778236,785.9747314,-0.002370008733,785.9747314,-0.001822374412,785.9747314,-0.003450009972,785.9747314,-0.001729668351,785.9747314,-0.003269536654,785.9747314,-0.002328454051,785.9747314,-0.003783941967,785.9747314,-0.003854351118,785.9747314,-0.00401744945,785.9747314,-0.002113357419,785.9747314,-0.002892113989,785.9747314,-0.00255806162,785.9747314,-0.001844594139,785.9747314,-0.002521003131,785.9747314,-0.001899236348,785.9747314,-0.003182895249,785.9747314,0.0004317595158,785.9747314,-0.003469886724,785.9747314,-0.003684826195,
784.9972534,-0.002673540264,784.9972534,-0.004160744604,784.9972534,-0.00257113413,784.9972534,-0.003529306035,784.9972534,-0.002875348087,784.9972534,-0.003404089715,784.9972534,-0.003541630693,784.9972534,-0.003909356892,784.9972534,-0.00391192222,784.9972534,-0.004639112391,784.9972534,-0.004315936007,784.9972534,-0.001000530086,784.9972534,-0.002973106224,784.9972534,-0.003765927162,784.9972534,-0.003471940989,784.9972534,-0.002055495745,784.9972534,-0.00240996317,784.9972534,-0.00309788133,784.9972534,-0.0002429495071,784.9972534,-0.003301444696,784.9972534,-0.003773985198,
784.0194092,-0.002374745673,784.0194092,-0.003369106911,784.0194092,-0.003577934578,784.0194092,-0.0018355723,784.0194092,-0.004541575443,784.0194092,-0.002284269081,784.0194092,-0.003460231004,784.0194092,-0.003535160329,784.0194092,-0.004005958792,784.0194092,-0.003274007002,784.0194092,-0.004883935209,784.0194092,-0.001367213437,784.0194092,-0.003371675499,784.0194092,-0.003163673449,784.0194092,-0.00389894098,784.0194092,-0.003188085975,784.0194092,-0.003104975214,784.0194092,-0.002180019859,784.0194092,-9.768265591E-5,784.0194092,-0.003944347613,784.0194092,-0.003696633037,
783.0411987,-0.002960097045,783.0411987,-0.003860354889,783.0411987,-0.003440353787,783.0411987,-0.002673540264,783.0411987,-0.003189884825,783.0411987,-0.002511274768,783.0411987,-0.002503502183,783.0411987,-0.004244063515,783.0411987,-0.003403062234,783.0411987,-0.002919575898,783.0411987,-0.004353866912,783.0411987,-0.002859918866,783.0411987,-0.002750457497,783.0411987,-0.002751229098,783.0411987,-0.003698686371,783.0411987,-0.002319133375,783.0411987,-0.001842944417,783.0411987,-0.00288064545,783.0411987,-0.001253038761,783.0411987,-0.004037248902,783.0411987,-0.003512975527,
782.062561,-0.003359448863,782.062561,-0.002584103495,782.062561,-0.003407325828,782.062561,-0.003222877858,782.062561,-0.004368371796,782.062561,-0.004806166049,782.062561,-0.001872843946,782.062561,-0.00307012233,782.062561,-0.003442613641,782.062561,-0.00411392469,782.062561,-0.002299100859,782.062561,-0.002641946077,782.062561,-0.003163519315,782.062561,-0.003361349693,782.062561,-0.003802263644,782.062561,-0.002630367875,782.062561,-0.002496089786,782.062561,-0.003019431839,782.062561,0.0009837965481,782.062561,-0.003228993155,782.062561,-0.004730175715,
