t=0,,t=10,,t=20,,t=30,,t=40,,t=50,,t=60,,t=120,,t=180,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800.0133667,0.000504474,800.0133667,-8.29E-05,800.0133667,0.000609187,800.0133667,-0.002847369,800.0133667,0.000858476,800.0133667,-0.001860163,800.0133667,-0.000898555,800.0133667,-0.000583182,800.0133667,-0.000419512
799.0407104,0.000501908,799.0407104,0.001366909,799.0407104,0.000395251,799.0407104,0.000295071,799.0407104,-0.000388323,799.0407104,-0.001374026,799.0407104,-0.001070772,799.0407104,-0.001008175,799.0407104,-0.002307341
798.067749,0.000358954,798.067749,0.001802967,798.067749,0.000662591,798.067749,0.000986625,798.067749,-0.001631733,798.067749,0.000567014,798.067749,0.000704773,798.067749,-0.000425616,798.067749,-0.000495227
796.9552612,0.000797606,796.9552612,-0.000298621,796.9552612,0.000960525,796.9552612,-0.001044691,796.9552612,0.000203149,796.9552612,-0.001970776,796.9552612,-0.000226805,796.9552612,-0.000858462,796.9552612,-0.000268458
795.9814453,-0.001244005,795.9814453,0.00084045,795.9814453,-7.92E-05,795.9814453,-0.000859288,795.9814453,-0.000886776,795.9814453,-0.001880473,795.9814453,-0.000543317,795.9814453,-0.001495289,795.9814453,-0.001448077
795.0072021,0.000594801,795.0072021,0.000863949,795.0072021,0.00042922,795.0072021,-0.002491972,795.0072021,-0.002097025,795.0072021,-0.001313227,795.0072021,-0.001064007,795.0072021,-0.00061596,795.0072021,-0.002190219
794.0326538,-0.000358269,794.0326538,-0.000573616,794.0326538,0.000104903,794.0326538,-0.002222464,794.0326538,-0.000759348,794.0326538,-0.003243176,794.0326538,-0.002352605,794.0326538,-0.000953833,794.0326538,-0.001710537
793.0576782,0.000340145,793.0576782,0.00111764,793.0576782,0.001464246,793.0576782,-0.000711075,793.0576782,-0.001218812,793.0576782,-0.001335473,793.0576782,-0.001439409,793.0576782,-0.001480068,793.0576782,-0.00139663
791.9429932,-0.000457733,791.9429932,-0.000937509,791.9429932,-0.000224373,791.9429932,-0.001408602,791.9429932,-0.002244252,791.9429932,-0.00215622,791.9429932,-0.001854853,791.9429932,-0.001782727,791.9429932,-0.001757462
790.9672241,-0.000870707,790.9672241,-0.001372168,790.9672241,-0.001472638,790.9672241,-0.001676758,790.9672241,-0.001874236,790.9672241,-0.003669118,790.9672241,-0.002414957,790.9672241,-0.002860073,790.9672241,-0.002116397
789.9911499,-0.000858927,789.9911499,-0.001766846,789.9911499,-0.001366955,789.9911499,-0.002330617,789.9911499,-0.003072333,789.9911499,-0.002790531,789.9911499,-0.002952744,789.9911499,-0.002381594,789.9911499,-0.002129998
789.0146484,-0.002590331,789.0146484,-0.001286024,789.0146484,-0.001665309,789.0146484,-0.001953666,789.0146484,-0.003044367,789.0146484,-0.00303902,789.0146484,-0.002871954,789.0146484,-0.001138111,789.0146484,-0.00246335
788.0377808,-0.00039422,788.0377808,-0.002226276,788.0377808,-0.00237557,788.0377808,-0.003677896,788.0377808,-0.002361101,788.0377808,-0.003075366,788.0377808,-0.002438434,788.0377808,-0.002336642,788.0377808,-0.003736055
787.0604858,-0.001030178,787.0604858,-0.002616782,787.0604858,-0.001927637,787.0604858,-0.002552657,787.0604858,-0.001547395,787.0604858,-0.00207219,787.0604858,-0.003916027,787.0604858,-0.002151532,787.0604858,-0.003286442
785.9432373,-0.001092256,785.9432373,-0.000779917,785.9432373,-0.002423143,785.9432373,-0.003156015,785.9432373,-0.002348176,785.9432373,-0.003666037,785.9432373,-0.002499745,785.9432373,-0.002448627,785.9432373,-0.001797679
